小区,房屋数量,count,均价变动,lng,lat,地址
嘉城景帆苑,18,10584.0,-0.00394608,120.760224,30.782745000000002,新丝路21号
月亮湾,44,12401.0,0.0138726,120.874323,31.055519,康力大道588号
太湖小区,73,11742.0,0.004771,120.634897,31.157843,笠泽路871号
银杏苑,1,32822.0,0.43938299999999997,120.591122,31.313240999999998,金门路919号
赞成丽景苑,31,10577.0,0.00210066,120.79293200000001,30.765657,双溪路453号
东方经典花苑,7,7156.0,-0.191091,120.965034,30.913943,汇源路
蓝湖湾,7,13331.0,-0.051222300000000005,120.537879,31.855617,暨阳湖大道
高井头3号小区,1,16896.0,-0.155172,120.61505,31.314598999999998,高井头3号
丽江半岛,73,10716.0,0.013452,120.805594,30.737857,"云东路,近塘桥路"
茂月居,1,9717.0,-0.028220699999999998,120.84773899999999,31.139226,龙蚬路269号
阳光地带,2,11126.0,0.941372,120.94334599999999,30.839799,晋阳东路461-8号
宜家花城,1,13105.0,0.20934699999999998,120.942508,30.539065,海丰路
金穗月亮湾,10,10143.0,-0.07610449999999999,120.73331999999999,30.740503000000004,城南路1655号
闽信名筑,4,14335.0,0.0159132,120.51778999999999,31.353820000000002,鸿禧路26号
铂金公馆,2,10379.0,-0.0487581,119.667402,30.610807,独松观路468号
华丽家族太上湖上景花园一区,161,15968.0,0.0572308,120.444845,31.226874,环太湖大道138号
文昌花园,1,15841.0,-0.00989224,120.512593,31.374128999999996,文昌路301号
南郊花苑(南区),8,9031.0,0.0236412,120.76176399999999,30.724233,马塘路275号
金色家园,1,8509.0,-0.11258199999999999,120.830424,30.853878,"南星桥路,近麟溪路"
万联凤凰城,1,8090.0,0.00409582,120.08905800000001,30.877256,凤凰路1088号
万联花园,48,12021.0,0.00958578,120.928326,30.824384999999996,世纪大道
十里风荷,6,18020.0,,120.72168500000001,30.537312,"碧云北路,近施带路"
金澄明珠别墅,2,25384.0,0.586535,120.85213300000001,31.247689,湖滨路666号
欣悦佳园(西区),1,9655.0,0.20689699999999997,120.920303,30.523884999999996,"出海路,近楞港路"
汀香别墅,1,14956.0,-0.00860355,119.67010900000001,30.586097,机场路
天明花苑(B区),2,6627.0,0.119833,120.862609,30.752113,夏云路
西苑新村,13,12030.0,-0.0294728,120.976821,31.385175,珠江路
招商太公望(别墅),1,14193.0,0.0221086,120.705246,31.632533000000002,中央大道
滨江花园,8,11576.0,0.22562600000000002,120.890592,31.967383,紫琅南路18号
华强城,1,10265.0,0.0079224,120.86810200000001,32.046135,北大街
金都九月洋房朗轩,4,12560.0,0.1016,120.694584,30.760498,秀园路
世茂九溪墅(别墅),2,11851.0,-0.0379901,120.53086299999998,31.852732,"港城大道,近暨阳湖大道"
南都中心,307,10184.0,0.0814997,120.74226399999999,30.745174,"城南路,近中环南路"
城中花园,2,41318.0,0.0293311,120.625075,31.311324,西美巷
万家花园,67,8142.0,-0.0625819,120.783221,30.757686,望湖路108号
南环东路3号小区,3,27272.0,-0.014169999999999999,120.65568300000001,31.290033,南环东路3号
中南世纪城,1,8593.0,0.00996106,120.5971,32.376987,惠政路
龙之梦悦庭,114,9652.0,-0.0661531,120.74528600000001,30.74721,中环南路1969号
佳源都市(西区),29,10293.0,0.0100664,120.77851899999999,30.784961,城东路
中南世纪城,17,16559.0,-0.113962,120.77783400000001,31.66507,泰山南路
旭辉广场,13,10334.0,-0.00256266,120.75323700000001,30.766893,中山东路666号
后梗子巷23号小区,1,15344.0,-0.23275900000000002,120.63104299999999,31.312210999999998,后梗子巷23号
尚公馆,2,9181.0,,120.701843,30.509965,钱江东路26号
府南花园(一区),1,9414.0,0.0136364,120.760369,30.738011,新气象路946号
康怡园,3,9730.0,0.00713067,120.97721299999999,31.377236,朝阳中路465号
放鹤洲花园(一期),22,12248.0,-0.00777147,120.749968,30.754493,放鹤洲路159号
汇高百悦府,13,10267.0,0.0255925,120.697337,30.49745,"江南大道,近海昌南路"
金色地中海,1,10256.0,-0.00321035,120.086928,30.903854,德清路
世茂尚景翠苑,9,9603.0,-0.162553,120.78881799999999,30.710829999999998,五环洞路
华府景苑,1,7422.0,0.0700891,120.71920700000001,30.524059,塘南中路777号
宇隆嘉苑,30,10078.0,0.027871100000000003,120.75848400000001,30.83059,奥星路278号
海安7星首府,15,6876.0,0.048351599999999995,120.50060500000001,32.540343,黄海大道东19号
新建路新村,1,10350.0,-0.355096,120.858341,32.013853000000005,新建路
碧波公寓,2,15072.0,-0.292194,120.97043899999998,31.385709000000002,月城街121号
越秀花园,18,9484.0,-0.058418399999999995,120.736602,30.762110999999997,吉杨路488号
宝领新村,73,9026.0,-0.201577,120.9672,31.366864,衡山路
阳光水榭花园(50-94幢),1,16482.0,-0.175862,120.63330900000001,31.255132,"东吴南路,近石湖西路"
长虹春天,490,10438.0,0.011676899999999999,120.72928,30.878145,"运河东路,近虹桥路"
当代万国府ΜΟΜΛ,7,28863.0,-0.26167199999999996,120.62518999999999,31.339094,苏站路
金科廊桥水岸,3,10980.0,0.0062153,120.643321,31.127696999999998,"思贤路,近鲈乡南路"
碧霞苑,7,4466.0,0.276167,120.768619,32.245293,市河路
锦绣苑,10,12224.0,-0.0314118,120.74005600000001,30.774081,越秀北路483号
嘉禾绿洲,5,9002.0,-0.0185046,120.699899,30.759256,秀清路188号
紫竹名苑,106,9905.0,0.01154,120.79106100000001,30.759633,景宜路183号
绿地中心泊珑湾,2,12442.0,0.14530099999999999,120.606899,31.136967,东太湖大道9999号
绿地家园,8,8555.0,-0.0279161,120.67605,30.688721,绿园路
月亮湾,17,13855.0,0.0333923,120.645769,31.272182,迎春路，近文曲路
嘉业阳光城,3,14663.0,0.06642510000000001,120.57586699999999,31.327666999999998,西环路
明丰翠湖苑,3,7148.0,-0.193669,120.861571,31.028683,浦港南路358号
长江花园,3,10796.0,0.0757789,120.98711399999999,31.406335,长江北路
嘉兴人才公寓,74,10000.0,,120.73538899999998,30.740864000000002,创新路220号
欣居花苑,16,5972.0,0.150579,120.93853100000001,30.508031,秀水南路200号
阳光小区(西区),1,9444.0,0.121556,120.74541200000002,30.794859999999996,禾平街
半岛领邸,4,11224.0,,120.11914099999998,30.954006,"梅洲路,近浮霞路"
海宁月亮湾,7,10778.0,-0.0793563,120.71948400000001,30.528934000000003,"碧云南路,近水月亭东路"
玫瑰久久,1,17858.0,0.0266858,120.633902,31.238260999999998,吴中大道98号
荣盛富盛名邸,6,10913.0,,120.782647,30.734972999999997,"由拳路,近富润路"
水岸丽都,73,10728.0,0.0310825,120.76261699999999,30.812969,东方路
嘉禾北京城,1,13157.0,0.126552,120.76136499999998,30.780215999999996,北京路37号
聆湖丽墅,2,14260.0,0.10523099999999999,120.74523899999998,31.490557,凤阳路99号
海悦富地中心,1,9116.0,0.012927200000000002,120.667491,31.172796999999996,运东大道997号
昆城景苑,58,15529.0,-0.00409114,120.95979799999999,31.372163,衡山路1500号
金桂苑,1,29067.0,-0.410817,120.92612700000001,30.709446999999997,广场路403号
大自然城市花园,7,8991.0,0.0445095,119.925174,31.011067999999998,解放东路129号
豪杰翡翠湾,34,10552.0,0.0360639,120.646887,30.790762,嘉铜公路
尚城国际花园,4,24948.0,5.39074e-05,120.954838,31.429482,北门路1388号
海盐金色海岸,174,11137.0,0.000195098,120.9679,30.53759,海丰东路
西塘新村,1,12121.0,,120.631653,31.280684,东吴北路
胜利新村,11,15008.0,0.117721,120.953235,31.42665,北门路
星龙湾,1,9629.0,0.26657800000000004,119.932271,31.0456,经二路
君地新大陆,1,21838.0,0.628786,120.720409,31.367945000000002,唯华路3号
青春驿站,1,17211.0,0.23977199999999999,120.98123700000001,31.423427,富士康路
荷塘月色景苑,15,9235.0,0.025109,120.887327,30.950896999999998,西汉大道
国瑞熙墅(别墅),1,21111.0,-0.00118282,120.534177,31.283095,竹园路，近中环西线
青春汇商务中心,1,11763.0,-0.0249596,120.615995,31.344734000000003,江坤路138号
城南花园,36,8371.0,-0.0200689,120.749117,30.757658000000003,城南路237号
融创太湖印,56,8979.0,-0.0483234,120.11978400000001,30.949183,震泽路
宝格丽公馆,203,11067.0,0.0186648,120.805966,30.740052000000002,庆丰路
益闵花园,8,9652.0,-0.09632639999999999,120.946095,31.289989000000002,新吴街168号
融创石湖桃花源,8,19819.0,-0.0161236,120.60887199999999,31.261439000000003,"友新高架,近新郭港路"
秀湖香颂湾,1,7996.0,-0.0856253,120.698154,30.788422999999998,秀洲大道
凤南新村,3,5808.0,0.0141435,120.866883,30.659701000000002,凤南路
人民新村,1,11440.0,0.229359,120.110047,30.880024,人民路432号
城东公寓,3,7308.0,-0.22039499999999998,120.77103799999999,30.773008,城东路373号
东辉缘,7,10547.0,-0.0411567,120.98788200000001,31.423173,长汇路353号
骏园,4,12378.0,0.21136100000000002,120.764299,30.721477,花园路
雍景湾南苑,33,11346.0,-0.00348583,120.971222,31.374079,柏庐路
鑫河湾,2,14481.0,0.379337,120.92621499999998,31.181492,长寿东路
新市路小区,1,23896.0,0.137931,120.621503,31.296764000000003,新市路
敏华聚珑阁,27,9583.0,-0.0816603,120.668874,31.154678000000004,运东大道
人民南路38号小区,2,14726.0,-0.18185199999999999,120.964173,31.374525,人民南路38号
解放新村,7,28759.0,-0.0258005,120.61431,31.290757,解放东路
大树绿苑(北区),1,10000.0,0.0336986,120.835743,30.823223,兴民路
放鹤洲花园,43,12185.0,-0.00108262,120.74920900000001,30.748426000000002,放鹤洲路562号
博威黄金海岸,2,13409.0,-0.0112307,120.992954,31.418971999999997,新纬路888号
御湖天誉,52,9955.0,0.000173211,120.12504399999999,30.947209,安居路66号
滨江花苑,10,8816.0,-0.053427199999999994,120.923927,30.846426,中山西路228号
彩虹岛花苑,1,8668.0,-0.0840535,120.868808,31.060667,彩虹路2号
江海名都,8,8249.0,0.164639,120.75131,32.099276,育才路
美迪家园,1,8993.0,0.0505922,120.804225,30.673728000000004,民新路18号
中南公寓,14,9981.0,0.055686599999999996,120.79190600000001,30.736512,由拳路2717号
昆山玉兰公馆,405,23159.0,0.0237186,120.980419,31.35902,长江中路
高桥阳光城,73,11444.0,-0.0557966,120.574273,30.547356,"乌镇大道,近高铁大道"
朗悦湾,2,12525.0,0.23330900000000002,120.668443,31.470008,澄阳路2999号
阳光小区(南区),1,6138.0,-0.053638099999999994,120.74438799999999,30.792239000000002,同心路422号
地中海一号公馆,2,9500.0,0.027868200000000003,120.714872,30.549516999999998,横山路
东渡海派青城(别墅),1,33465.0,0.0907814,120.69192,31.435863,聚金路
合生国际花园,2,8823.0,-0.0965595,120.99457,31.467101,迎周路99号
阳光家园,1,11280.0,0.657701,120.940306,30.523809000000004,百尺北路3号
胥江花园,1,12363.0,,120.50771599999999,31.256675,灵天路1号
向阳新村,3,10500.0,0.109548,120.55325900000001,31.871107000000002,"梁丰路,近河东路"
盛大花园,5,9354.0,0.0323364,120.73640800000001,30.780869,百墅路437号
御景澜庭,1,13558.0,-0.125228,120.871583,32.059051000000004,"友谊路,近永和路"
淀山湖上海岛庄园,13,16889.0,-0.00174666,120.94596000000001,31.155139000000002,锦商公路
清风华院,1,15555.0,-0.246658,120.90213700000001,31.40614,登云路88号
名湖人家,25,12377.0,-0.06378049999999999,120.77275900000001,30.754920000000002,海盐塘路
绿城玫瑰园(别墅),10,54317.0,0.0877707,120.853176,31.440633000000002,湖滨路3888号
景德路小区,2,19726.0,0.720589,120.61970500000001,31.316396,景德路
柏庐天下,82,8753.0,-0.297543,120.96261299999999,31.3563,普陀山路
亚太花苑,8,8934.0,-0.164257,120.820765,30.750166999999998,凌公塘路2758号
亿城天筑(别墅),1,9440.0,,120.485946,31.2502,胥市街368号
百岭公寓,1,17857.0,0.10398800000000001,120.96609299999999,31.403395,紫竹路
奥林花园,1,34591.0,0.0269278,120.58878200000001,31.298521,西环路
维纳阳光花园南区(别墅),1,40322.0,,120.763079,31.374969,阳澄湖大道
华盛广场,11,7894.0,0.00522093,120.78821,30.731596000000003,商务大道
怡馨苑,1,25610.0,-0.07896089999999999,120.961685,31.389590999999996,亭林路
云东公寓,9,11878.0,0.48587700000000006,120.798955,30.73358,"由拳路,近双溪路"
诚恒世嘉,34,9803.0,0.0319964,120.725149,30.890553999999998,北虹东路129号
天玺别墅,4,9954.0,-0.0869738,120.11715500000001,30.960338,通湖路500号
融创苏州壹号院,2,24520.0,0.10791700000000001,120.622243,31.191287,"金碧街,近东太湖路"
向阳一村,1,6304.0,-0.00958366,120.64085700000001,31.957667999999998,"锦中路,近锦南路"
莲花小区,86,10486.0,0.016818400000000004,120.994401,31.054441999999998,练西路2755弄
凤凰城,14,4149.0,0.0719408,120.409135,32.309431,绘园路489号
天润家园,2,9743.0,0.09514639999999999,120.90011899999999,32.031926,五一路8号
玖隆花苑,3,7049.0,-0.0835889,120.61548400000001,31.953595,华昌路，近兴业路
中信花园,22,10517.0,0.101199,120.93082700000001,30.8526,车站北路
清水依瓦诺,2,15688.0,-0.0081318,120.98263600000001,31.200083000000003,锦淀路88号
爱法山水国际,10,7765.0,0.035406900000000005,120.460022,32.520509999999994,黄海大道西1号
百合春苑,1,8722.0,-0.0769495,120.621067,30.808203999999996,兴育路
胥江一号别墅(别墅),40,12627.0,0.0102179,120.49306899999999,31.24101,胥欣路221号
富华苑,1,36909.0,0.08716669999999999,120.662577,31.304040000000004,机场路1号
红旗新村,5,29288.0,0.10912100000000001,120.613326,31.306832,三香路40号
一品江山,3,10733.0,0.00669474,120.917869,31.943340000000003,常青路
东方名嘉(东区),4,10636.0,0.016929800000000002,120.939419,30.839014000000002,晋阳东路
新城域,28,8306.0,-0.10332899999999999,120.970059,31.339015999999997,长江南路88号
大众湖滨花园东区(别墅),29,15612.0,0.00229118,120.958678,30.826827,之江路
亚福江南春晓,14,8549.0,0.0232815,120.90232900000001,30.89064,窑兴路
天平花园,2,14686.0,-0.270701,120.526671,31.273201,金山路180号
紫金花园,1,7615.0,0.0472858,120.859477,30.536434999999997,招宝路300号
翰林缘公寓,1,23734.0,0.369347,120.750464,31.284515000000003,林泉街608号
湖滨半岛公馆,6,9960.0,-0.20725900000000003,120.849949,31.128491999999998,大桥路68号 
放鹤洲花园(北区),3,12077.0,0.077847,120.74768200000001,30.749446000000002,望鹤路36号
博悦城,3,7949.0,-0.00631034,120.96966699999999,31.362492,中华园路
淀滨新村,22,12944.0,0.00117085,120.97326799999999,31.071199,岑中路96弄
缔艺家园,26,9055.0,0.011984999999999999,120.671071,30.520725,联合路525号
天城园林居,3,11732.0,0.00396584,120.744782,30.754834000000002,文昌路148号
梅花新村,2,31804.0,0.11504600000000001,120.637143,31.344447,官渎路
正荣悦棠湾,24,9940.0,,120.651922,30.89364,"中心大道,近南环路"
嘉华春晓,18,10516.0,0.0157909,120.93993600000002,30.824398,农商路163号
皇马公寓,15,9583.0,-0.00177424,120.72554699999999,30.773114,常秀街
优山美地花园(别墅),2,19995.0,0.046593699999999995,120.92194199999999,31.944042,星湖大道1888号
兰花园,1,14154.0,0.031332,120.85713999999999,31.123471999999996,全功路202号
朝阳新村,15,13993.0,0.017279,120.963697,31.376115000000002,合兴西路
月河公寓(南区),2,8472.0,0.0259685,120.75321399999999,30.777075,同乐路
融创太湖印(别墅),2,10745.0,-0.32361100000000004,120.12061100000001,30.947999,震泽路
天地华城,10,16089.0,-0.153169,120.924757,31.388292,前进西路1188号
长泰淀湖观园(别墅),132,16608.0,0.0213691,120.97426000000002,31.175128000000004,环湖大道
江南人家,1,23075.0,-0.0726517,120.62446299999999,31.306125,道前街
锦绣龙湾,1,6079.0,0.013275899999999998,120.767692,32.243582,"蒲涛路,近万安路"
南通壹城九间堂山居,2,15277.0,-0.000850229,120.91642900000001,31.950402,工农南路18号
金科廊桥印象,1,5816.0,-0.123172,120.43963600000001,31.938636,勤政路
金域世家,151,10281.0,-0.036812,120.66496200000002,30.532158000000003,硖仲路499号
丽景苑,3,36913.0,0.213964,120.63873500000001,31.314705,干将东路636号
周庄万盛园,11,12625.0,0.0430201,120.865228,31.115954,全福路138号
云山诗意,3,15501.0,-0.048559,120.54418100000001,31.261175,珠江南路988号
万科金色里程,1,23004.0,0.645889,120.550195,31.372493,金阊城北路
星城洛洲,7,12358.0,0.112296,120.70117900000001,30.518315,海州东路
曲新花苑,1,4939.0,-0.06437999999999999,120.337193,32.500607,曲新路13号
景尚墅,10,10764.0,-0.00724764,120.709216,30.783534000000003,秀庄路
江南新家园,17,9397.0,0.0492314,120.826554,30.824094,湘家荡大道
禾众商业广场,13,9087.0,0.020335,120.90191599999999,30.835526,城西大道
逸景湾,4,11444.0,-0.11968699999999999,120.946261,31.411153000000002,萧林路
海景苑,12,7983.0,0.0425383,120.965404,30.533611999999998,城东路
南湖小区,98,8750.0,0.00229095,120.77389299999999,30.75445,菱香路40号
明珠花苑,2,11805.0,-0.0502483,120.856803,31.030501,临沪东路259号
南方大厦,8,8120.0,-0.0128608,120.568514,30.634041999999997,永兴路2号
锦荷佳苑,6,12290.0,-0.058999,120.78384299999999,31.649423,富泰路
水岸家园,1,16657.0,-0.21646700000000002,120.61293899999998,31.344893,总官堂路1160号
龙庭华府,2,7608.0,,120.596733,31.942409,"华昌路,近青屏沙路"
淀湖芳华里,41,12446.0,0.00381844,120.992498,31.195575,新乐路2002号
馨逸家园,13,13644.0,-0.0845064,120.92892900000001,31.285142999999998,江浦南路
西塘小区,7,20867.0,-0.0287305,120.65123200000001,31.177232,塘东弄20号
枫泾新村三区,3,12353.0,-0.123175,120.760649,31.653147999999998,枫泾路
西园新村,1,26262.0,0.0271031,120.962094,31.386863,前浜
星胜客(北区),1,14177.0,0.18143099999999998,120.826326,31.307609999999997,唯胜路
智富城MIMON,11,8111.0,0.0270387,120.695384,30.765528999999997,秀清路626号
