小区,房屋数量,count,均价变动,lng,lat,地址,ID
长岛花园,2,50666,0.252373,120.651412,31.302176,莫邪路347号,886403
嘉城景帆苑,12,10166,-0.022124,120.760224,30.782745,新丝路21号,889853
海宁苑,2,7910,-0.146894,120.572555,32.384590,福寿路,918309
月亮湾,31,11590,0.008922,120.874323,31.055519,康力大道588号,792708
太湖小区,19,11709,0.010006,120.634897,31.157843,笠泽路871号,886962
湖滨花园,1,8866,0.130003,120.874861,31.392966,马鞍山西路,883562
银杏苑,1,25057,0.067345,120.591122,31.313241,金门路919号,885605
赞成丽景苑,109,10263,0.023332,120.792932,30.765657,双溪路453号,890114
东方经典花苑,4,6911,-0.010594,120.965034,30.913943,汇源路,594604
蓝湖湾,6,15303,0.045858,120.537879,31.855617,暨阳湖大道,889409
丽江半岛,70,13054,0.193345,120.805594,30.737857,云东路，近塘桥路,890152
茂月居,7,9133,0.020789,120.847739,31.139226,龙蚬路269号,884592
恒源紫芸,1,11946,-0.159620,120.901426,31.392585,祖冲之南路，近马鞍山西路,884468
金银岛,1,19696,0.020835,120.636186,31.826685,北京路518号,889706
阳光地带,1,13200,,120.943346,30.839799,晋阳东路461-8号,890429
宜家花城,7,6273,-0.168478,120.942508,30.539065,海丰路,890500
铂金公馆,3,13818,0.228157,119.667402,30.610807,独松观路468号,989736
金穗月亮湾,6,8363,-0.016927,120.733320,30.740503,城南路1655号,889882
华丽家族太上湖上景花园一区,100,20202,0.117367,120.444845,31.226874,环太湖大道138号,887989
白云花苑,1,10909,0.030609,120.915306,30.819703,白水塘路,890337
财富广场,1,16347,0.272041,120.722781,30.765516,中山西路527号,927357
亲亲家园,5,8333,0.077311,120.573150,30.626242,校场东路,892494
南郊花苑(南区),1,7493,-0.119299,120.761764,30.724233,马塘路275号,889938
金色家园,1,8928,0.009612,120.830424,30.853878,南星桥路，近麟溪路,941366
金城北郡,2,15256,0.306724,120.992521,31.417043,白塔路，近横泾路,883684
万联花园,69,12500,0.045500,120.928326,30.824385,世纪大道,890421
十里风荷,91,16119,-0.043807,120.721685,30.537312,碧云北路，近施带路,1026582
金澄明珠别墅,1,25068,,120.852133,31.247689,湖滨路666号,888158
文卫新村,1,13207,0.048341,120.647011,31.278208,吴中东路81号,887601
三江尊园,1,37860,0.262017,120.652473,31.371808,阳澄湖东路9号,888874
西苑新村,27,15000,0.143118,120.976821,31.385175,珠江路,884145
招商太公望(别墅),3,13211,-0.011301,120.705246,31.632533,中央大道,885311
华强城,2,10365,,120.868102,32.046135,北大街,917801
金都九月洋房朗轩,3,10894,-0.067773,120.694584,30.760498,秀园路,798234
南都中心,405,10310,-0.040348,120.742264,30.745174,城南路，近中环南路,1006356
城中花园,16,44444,0.025828,120.625075,31.311324,西美巷,886092
金水湾花园,7,6773,0.166236,120.933238,32.357631,交通东路7号,918264
万家花园,71,8076,-0.092890,120.783221,30.757686,望湖路108号,890006
南环东路3号小区,2,28636,0.050015,120.655683,31.290033,南环东路3号,886378
龙之梦悦庭,128,9615,-0.001765,120.745286,30.747210,中环南路1969号,1006355
佳源都市(西区),40,10114,0.011198,120.778519,30.784961,城东路,889847
旭辉广场,5,10000,-0.002693,120.753237,30.766893,中山东路666号,927347
中南世纪城,3,21839,0.088141,120.777834,31.665070,泰山南路,885263
津西新天地,1,17708,0.147188,120.558773,31.313038,塔园路,886514
府南花园(一区),1,7640,0.000917,120.760369,30.738011,新气象路946号,889789
康怡园,185,10000,0.008471,120.977213,31.377236,朝阳中路465号,883762
汇高百悦府,11,10000,0.002004,120.697337,30.497450,江南大道，近海昌南路,952801
放鹤洲花园(一期),5,12266,0.022593,120.749968,30.754493,放鹤洲路159号,889770
健康西村,1,8500,0.337740,120.570260,32.388758,健康西路,918340
华府景苑,1,5617,-0.138365,120.719207,30.524059,塘南中路777号,890634
宇隆嘉苑,19,8571,-0.097504,120.758484,30.830590,奥星路278号,438527
海安7星首府,19,6421,-0.053648,120.500605,32.540343,黄海大道东19号,926348
紫欣公寓,1,16853,0.394770,120.757905,30.763029,杨柳湾路23号,890138
越秀花园,15,10000,0.021033,120.736602,30.762111,吉杨路488号,890108
宝领新村,172,8663,-0.011355,120.967200,31.366864,衡山路,883302
保昆新村,3,6153,-0.089524,120.857494,31.123463,全功路150号,883305
昆城中欣广场,1,12380,0.292950,120.952017,31.388004,前进西路560号,883771
阳光水榭花园(50-94幢),1,14000,,120.633309,31.255132,东吴南路，近石湖西路,887657
万科濠河传奇,1,13888,-0.118222,120.849623,32.014799,任港路99号,917334
长虹春天,915,10283,0.018370,120.729280,30.878145,运河东路，近虹桥路,912652
当代万国府ΜΟΜΛ,7,39108,0.194064,120.625190,31.339094,苏站路,915259
金科廊桥水岸,2,10555,-0.028800,120.643321,31.127697,思贤路，近鲈乡南路,802377
碧霞苑,2,5617,-0.020405,120.768619,32.245293,市河路,918274
锦绣苑,2,10434,0.028487,120.740056,30.774081,越秀北路483号,889884
嘉禾绿洲,1,9166,-0.024686,120.699899,30.759256,秀清路188号,890211
紫竹名苑,39,10679,-0.007343,120.791061,30.759633,景宜路183号,890142
融城汇园,1,12444,0.034586,120.969748,31.440459,友谊南路,883985
绿地家园,3,10666,-0.088376,120.676050,30.688721,绿园路,890239
学田中南苑,3,11234,0.210093,120.891904,32.021978,学田南路,917545
月亮湾,63,13000,-0.087271,120.645769,31.272182,迎春路，近文曲路,887709
嘉业阳光城,10,13387,-0.018188,120.575867,31.327667,西环路,885460
