小区,count,lng,lat,上线时间,户型数量,区,地段,地址
碧桂园嘉誉,31670,121.282927,31.423963,2016-09-28,4,嘉定,嘉定新城,启悦路700弄
阳光星期8,36900,121.489577,30.925140999999996,2018-02-28,4,奉贤,南桥,解放东路588号
恒大海上威尼斯,8000,121.933926,31.721349,2017-12-24,22,上海周边,启东,堤顶公路
静安·慕舍,74000,121.461973,31.296815999999996,2018-01-01,5,静安,大宁绿地,广延路1199弄
万科公园大道,32648,121.38706599999999,31.030724,2018-01-19,5,闵行,马桥,富卓路789弄
绿地长岛,11000,121.468122,31.799205999999998,2017-07-28,5,上海周边,启东,隆海路
新南浔孔雀城,7500,120.44450009372,30.87541045868,2017-10-08,5,上海周边,其他,浙江省湖州市南浔镇浔练公路和联谊路交叉口
路劲•佘山院子,38000,121.144896,31.031423999999998,2017-06-30,4,松江,松江新城,崇南公路599弄
碧桂园玫瑰公馆,19285,121.08739470514999,30.878939673014003,2017-06-10,7,金山,枫泾,润兴路8弄1号-46号
大学里二期,30000,121.21712911228,31.285706539773003,2017-07-20,4,嘉定,安亭,曹安公路4801号（近绿苑路）
绿地康桥郡,19000,121.08783600000001,31.282465000000002,2017-05-20,8,花桥,花桥,金融大道
禹洲丁香里,29200,121.28045103953,31.414373354919,2017-04-26,3,嘉定,嘉定镇,澄浏公路255号（近唐家浜路）
仁恒·公园世纪,125000,121.540364,31.215162,2017-05-06,5,浦东,花木,银融路88弄
宝华帝华园,25400,121.58139690318,30.930245467568003,2018-01-16,6,奉贤,金汇,南奉公路3111弄
东方颐城,0,121.87970200000001,30.988657,2017-12-30,4,浦东,临港新城,东大公路与崇实路交汇处
安亭瑞仕锦庭,31500,121.196251,31.281329,2017-07-07,6,嘉定,安亭,安研路67弄1-26号
象屿·上海年华,46000,121.34627856731001,31.080052210198,2017-03-04,5,松江,新桥,明华路1077弄(陈春路明华路口)
上海星河湾,76500,121.41465500000001,31.094045,2016-05-28,10,闵行,颛桥,都会路3888弄
保利建工西郊锦庐,49100,121.234385,31.128504,2018-06-01,2,青浦,赵巷,业文路189弄
桐南美麓,31000,121.49376699999999,30.960655,2018-01-21,10,奉贤,南桥,"广丰路,近金海公路"
金隅大成郡,28800,121.27216299999999,31.410794,2018-01-30,8,嘉定,嘉定新城,"武乡南路259弄,武乡南路230弄"
中骏天悦,105000,121.408148,31.26165,2017-01-20,7,普陀,真如,固川路166弄
御澜雅苑,43000,121.15321499999999,31.158965000000002,2017-12-31,3,青浦,青浦新城,秀泽路
首创悦都,12600,121.07404199999999,31.371771000000003,2017-12-26,10,上海周边,昆山,昆嘉路318号
臻水岸苑,43887,121.23139157611999,31.147928156506,2018-12-30,8,青浦,赵巷,业辉路199弄
碧桂园·十里外滩,11500,121.59083600000001,31.734505,2018-01-12,5,上海周边,启东,启隆乡永兴街260号
碧桂园金山星作,18404,121.30319141377,30.804078776448,2018-01-22,3,金山,金山新城,康德路和东贤路的交汇处
万科Mixtown,21000,121.084769,31.283520000000003,2017-11-25,15,花桥,花桥,金融大道355号
融创江南悦,15800,121.089242,30.836026,2017-12-16,9,上海周边,嘉兴,"虹桥路,近平兴公路"
大名城紫金9号,68000,121.67283,31.235025,2016-10-09,6,浦东,唐镇,德淳路99弄
大发融悦四季,37000,121.15653477264,31.158755770503998,2018-01-07,6,青浦,青浦新城,秀泽路515弄（汇金路秀泽路路口）
首创旭辉城,26000,121.20671999999999,31.419903,2017-06-28,4,嘉定,嘉定新城,汇源路518弄
葛洲坝绿城·玉兰花园,42000,121.09700000000001,31.177132,2017-06-10,8,青浦,青浦新城,清河湾路1699弄
世合理想大地至真里,10500,120.85678300000001,30.711715,2017-09-09,2,上海周边,嘉兴,果园路1弄
仁恒东郊花园,68000,121.67568100000001,31.230922999999997,2016-10-17,7,浦东,唐镇,唐龙路1399号（近顾唐路）
大华斐勒公园,107526,121.532248,31.184611999999998,2017-02-08,2,浦东,花木,北艾路1643弄
