小区,count,lng,lat,上线时间,建筑类型,价格类型,显示价格,户型数量,区,地段,地址,ID
MOC芯城汇,11538,120.65546495091999,31.423306795865997,2018-05-30,超高层，多层，高层,总价,总价,3,上海周边,其他,澄阳路与南天成路交叉口（苏州北站向东200米）,437862
新里·波洛克公馆,26400,121.20137256414,31.206279994383003,2018-04-17,高层，花园洋房,总价,总价,2,青浦,重固,重固福泉山东路33弄（近崧建路）,417628
UniCity万科天空之城,57555,121.26365,31.180121999999997,2018-06-10,高层,总价,总价,5,青浦,徐泾,诸陆西路,414304
昆山万科海上传奇,19000,120.96791699999999,31.187395000000002,2018-03-31,小高层，花园洋房,均价,均价,4,上海周边,昆山,周同公路，近锦东路,416927
上海星河湾,76000,121.41761000000001,31.094918,2016-05-28,高层,均价,均价,10,闵行,颛桥,都会路3888弄,216434
新华红星国际广场,50000,121.37856076105,31.180830615444002,2016-07-13,,总价,总价,8,闵行,金虹桥,虹井路120弄2号（近吴中路）,401240
恒大海上威尼斯,11000,121.933926,31.721349,2017-12-24,独栋别墅，联排别墅，双拼别墅，叠加别墅，多层，小高层，高层，花园洋房,均价,均价,22,上海周边,启东,堤顶公路,246309
新城上坤樾山半岛,50000,121.24168799999998,31.105576,2018-07-01,联排别墅，叠加别墅,均价,均价,2,松江,佘山,城隆路1500弄,426834
浦江坤庭,60000,121.49424099999999,31.098625,2016-09-29,小高层,均价,均价,9,闵行,浦江,浦秀路1385弄,246228
中海润江府,17000,119.43580667731001,32.197381489639,2018-04-29,多层，小高层,均价,均价,5,上海周边,其他,镇江市润州区九华山路与北府路交汇处,437987
新西塘孔雀城悦珑湾,14000,120.91776781813,31.104336723936,2018-05-09,高层,均价,均价,4,上海周边,嘉善,北临世纪大道，南临白水塘路，西临灵秀路,436326
新西塘孔雀城御峰,16000,120.93009452518999,30.804340275198,2018-03-14,高层,均价,均价,3,上海周边,嘉善,嘉善高铁南站西约1公里,435441
融创海越府,15900,121.01728090081001,30.728103814285003,2018-03-24,高层,均价,均价,4,上海周边,嘉兴,平湖市经济技术开发区平成路与新兴二路交汇处,435007
光耀城,16000,120.917915,30.864140999999996,2018-05-02,高层,均价,均价,4,上海周边,嘉善,嘉兴市嘉善县北大金城北善西公路东,437634
融创江南悦,15800,121.089242,30.836026,2018-05-19,高层，花园洋房,均价,均价,9,上海周边,嘉兴,虹桥路，近平兴公路,429482
清池温泉度假村二期,17000,120.60316999999999,30.722721999999997,2017-11-05,,均价,均价,10,上海周边,嘉兴,秀洲区嘉湖路与濮新路交叉口,437057
国瑞瀛台,11500,121.495819,31.764879999999998,2018-04-24,联排别墅，花园洋房,均价,均价,8,上海周边,启东,永兴中路,418326
艾森公馆,28500,121.93233812253,30.911939856854,2018-05-18,多层，小高层,均价,均价,8,浦东,临港新城,云鹃路833弄（近水松路）,431164
禹洲雍贤府,32000,121.522025,30.979903000000004,2018-04-23,叠加别墅，高层,均价,均价,10,奉贤,金汇,大叶公路，近浦星公路,416406
佳兆业君汇上品,29000,121.20134399999999,31.202714,2018-04-21,多层，小高层，高层,均价,均价,4,青浦,重固,崧建路339弄,412391
融信铂爵,40000,121.08791699999999,31.141437,2018-04-21,高层,均价,均价,5,青浦,青浦新城,大盈浦路1500弄,411776
天和前滩时代,28000,121.523495,30.97617,2018-04-19,小高层,均价,均价,4,奉贤,金汇,万顺路2768弄，万顺路2968弄,253029
大发融悦四季,40000,121.15653477264,31.158755770503998,2018-06-15,小高层，花园洋房,均价,均价,6,青浦,青浦新城,秀泽路515弄（汇金路秀泽路路口）,416343
东方颐城,39759,121.87970200000001,30.988657,2018-06-15,联排别墅，叠加别墅，花园洋房,总价,总价,4,浦东,临港新城,东大公路与崇实路交汇处,405856
阳光星期8,31000,121.489577,30.925140999999996,2018-04-22,小高层，高层,均价,均价,4,奉贤,南桥,解放东路588号,409153
上海高尔夫社区汤泉美地城,49016,121.206442,30.881077,2018-05-13,独栋别墅，联排别墅，小高层，高层,总价,总价,7,金山,朱泾,金石北路6800弄,245393
中国铁建香榭国际,36000,121.44577,30.993315999999997,2018-04-21,叠加别墅，高层,均价,均价,12,奉贤,西渡,扶兰路18弄,416419
大名城紫金九号,70000,121.67283,31.235025,2018-05-31,高层,均价,均价,19,浦东,唐镇,德淳路99弄,401196
万科公园大道,48000,121.38706599999999,31.030724,2018-06-30,多层，高层,均价,均价,2,闵行,马桥,富卓路789弄,253147
碧云壹零,26000,121.90548100000001,30.910287,2018-06-30,联排别墅，叠加别墅，小高层，花园洋房,均价,均价,8,浦东,临港新城,竹柏路758弄,237702
嘉和美苑,23000,121.932767,30.909699,2018-05-08,多层，小高层,均价,均价,8,浦东,临港新城,云鹃路926弄,416552
禹洲府名廷,45454,121.385703,31.027477,2018-06-30,小高层,总价,总价,2,闵行,马桥,富国路199弄,417458
雍和府,36000,121.34414403245,31.487990888494,2018-03-27,联排别墅，叠加别墅，小高层，高层,均价,均价,3,宝山,罗泾,潘泾路和潘沪路路口,428763
万科Mixtown,21000,121.084769,31.283520000000003,2018-05-30,小高层，高层,均价,均价,17,花桥,花桥,金融大道355号,250688
碧桂园湖悦天境花园,19500,120.863794,31.037428000000002,2018-04-14,叠加别墅，高层,均价,均价,6,上海周边,其他,海南路99号,415730
华纺和成未来派,17883,121.324299,30.838781,2018-03-19,高层,均价,均价,4,金山,亭林,夏宁路，近九工路,272905
小时代长租公寓,13643,121.29349517658999,31.03241918576,2018-05-03,多层,总价,总价,5,松江,车墩,松江区联阳路12弄90---96号,436869
正荣璟园,24000,121.02678999999999,30.904403000000002,2018-03-30,联排别墅，多层,均价,均价,5,金山,枫泾,枫湾路660弄，枫湾路680弄,298165
中粮南桥锦云,36600,121.491019,30.926322999999996,2018-07-30,高层,均价,均价,6,奉贤,南桥,德政路298弄,429246
宝华帝华园,29800,121.58139690318,30.930245467568003,2018-01-16,高层,均价,均价,7,奉贤,金汇,南奉公路3111弄,417269
金隅大成郡,29000,121.27216299999999,31.410794,2018-01-30,高层,均价,均价,8,嘉定,嘉定新城,武乡南路259弄，武乡南路230弄,272906
信达蓝尊,44000,121.260976,31.06451,2018-01-19,高层,均价,均价,9,松江,松江新城,长水街277弄,414150
禹洲东滩雍禧,35000,121.81480900000001,31.499307,2018-09-30,联排别墅，叠加别墅,均价,均价,9,崇明,陈家镇,北陈公路1568弄,409399
浦发罗兰翡丽,67000,121.67998999999999,31.232574,2016-11-15,高层,均价,均价,9,浦东,唐镇,玉盘北路281弄,252977
绿地·天呈,45112,121.246945,31.402737,2017-07-06,叠加别墅，多层，高层,总价,总价,6,嘉定,嘉定镇,嘉唐公路169弄,411535
御澜雅苑,43000,121.15321499999999,31.158965000000002,2017-12-31,高层，花园洋房,均价,均价,3,青浦,青浦新城,秀泽路,416219
融创•海上桃源,22471,121.4658285742,31.789000142596002,2017-12-02,联排别墅，叠加别墅，花园洋房,总价,总价,2,崇明,崇明其他,江申二路北首（与沿江路交叉口）,432893
天健萃园,23000,121.81385700000001,30.961746,2017-09-19,多层，高层，花园洋房,均价,均价,6,浦东,临港新城,祥凯路2013弄,409268
静安府（西区）,87000,121.449826,31.299985999999997,2018-12-31,高层,均价,均价,9,静安,大宁绿地,汶水路265号,401152
象屿·上海年华,46000,121.345945,31.079506,2017-03-04,多层，高层，花园洋房,均价,均价,5,松江,新桥,明华路1077弄,252546
宝业爱多邦,41000,121.161484,31.150698,2018-12-31,高层,均价,均价,4,青浦,青浦新城,崧淀二路99弄,411465
新华御湖上园,17000,121.319647,30.836858000000003,2018-12-30,高层,均价,均价,7,金山,亭林,博海路99弄,415638
