city,ID,name,lng,lat
shanghai,11,上海,121.480241,31.236245
guangzhou,12,广州,113.270793,23.135308
shenzhen,13,深圳,114.06469,22.549153
beijing,14,北京,116.402953,39.932184
chengdu,15,成都,104.072365,30.663493
nanjing,16,南京,118.802961,32.064794
tianjin,17,天津,117.217414,39.144983
hangzhou,18,杭州,120.216333,30.252651
suzhou,19,苏州,120.63428,31.310745
chongqing,20,重庆,106.551503,29.554743
dalian,21,大连,121.621333,38.919679
wuhan,22,武汉,114.311358,30.598155
foshan,24,佛山,113.128375,23.027432
zhengzhou,26,郑州,113.6729,34.758634
changsha,27,长沙,112.982972,28.20095
qingdao,30,青岛,120.389113,36.073356
xian,31,西安,108.953421,34.265736
ningbo,32,宁波,121.555065,29.879269
dongguan,34,东莞,113.758187,23.027005
fuzhou,35,福州,119.31486,26.08128
guiyang,37,贵阳,106.718174,26.584461
taiyuan,38,太原,112.555148,37.876817
shenyang,39,沈阳,123.439411,41.79794
kunshan,40,昆山,120.987441,31.391403
nanchang,41,南昌,115.864738,28.688134
zhuhai,42,珠海,113.583215,22.276402
jiaxing,45,嘉兴,120.762075,30.752271
xiamen,46,厦门,118.095914,24.485821
haerbin,48,哈尔滨,126.63904,45.766973
changchun,50,长春,125.331262,43.892639
sanya,51,三亚,109.518266,18.258303
huizhou,52,惠州,114.421928,23.118524
wulumuqi,103,乌鲁木齐,87.594941,43.830967
mudanjiang,182,牡丹江,129.631534,44.575513
